Prompt ID,Prompt Task,Skill Trained,Difficulty,Example Input,Ideal Output,Tags
PE-A01,Design a chain-of-thought prompt that guides the model to identify logical fallacies in an argument.,"Chain-of-Thought, Logic",Advanced,"Argument: 'If we don't ban social media, everyone will become addicted. Therefore, social media must be banned.'",Step 1: Identify assumptions. Step 2: Evaluate logic. Step 3: Detect fallacy. → Fallacy: False dilemma (ignores other solutions).,"reasoning, logic, analysis"
PE-A02,Transform a standard summarization prompt into a layered summarization process (micro → meso → macro).,Structured Summarization,Advanced,Summarize the article below: [Insert 1200-word article],1. Micro-summary per paragraph. 2. Meso-summary per section. 3. Macro-summary of the whole article.,"summarization, layer-based"
PE-A03,Create a prompt that forces the model to explain its output with evidence sourced from the input text.,"Justification, Evidence",Advanced,"Review: 'The battery life is terrible, and the camera is worse than my old phone.'","Extracted Insight: Poor battery and camera. Evidence: 'battery life is terrible', 'camera is worse than my old phone.'","justification, extraction"
PE-A04,Generate a meta-prompt that teaches the model how to create teaching prompts for coding exercises.,"Meta-prompting, Instructional Design",Expert,Teach a user how to use Python decorators. Create a prompt that helps the model generate such a tutorial.,Prompt Output: 'Act as a Python tutor. Explain decorators with code examples and common use cases.',"meta-prompt, education"
PE-A05,"Design a robust multilingual prompt template that works across English, Spanish, and Korean for sentiment classification.",Multilingual Prompting,Expert,Input: 'Este producto es terrible.',"Prompt: Classify sentiment (Positive, Neutral, Negative) for the following sentence in any of the listed languages.","multilingual, classification"
PE-A06,"Refactor this prompt to generalize its utility across multiple domains (finance, health, education) without loss of accuracy.",Prompt Generalization,Advanced,Original: Analyze this financial report and list revenue anomalies.,Refactored: Analyze the input document and list any data anomalies related to key performance indicators.,"generalization, robustness"
PE-A07,Develop a prompt pattern that balances creativity and factual accuracy in historical fiction generation.,Creative + Constrained Output,Expert,Write a scene featuring Nikola Tesla in New York during the 1900s.,"Prompt: Write a fictional scene based on real historical events. Ensure factual names, dates, and inventions are accurate.","creative writing, historical fiction"
PE-A08,Compose a meta-prompt that tells the model how to evaluate the effectiveness of other prompts.,Prompt Evaluation,Expert,Evaluate the effectiveness of the prompt: 'Describe how the internet works in simple terms.',"Prompt Evaluation: Measures clarity, target audience alignment, and coverage of essential components.","evaluation, scoring"
PE-A09,"Generate a prompt that enables the model to create 3-tiered explanations (beginner, intermediate, advanced) for technical concepts.",Scaffolded Explanation,Advanced,Topic: Quantum Computing,"Output: 1. Beginner (layman's terms), 2. Intermediate (some math), 3. Advanced (formulas + references)","technical writing, adaptive response"
PE-A10,Turn a classification prompt into a zero-shot → few-shot → fine-tuned simulation scenario to test LLM reasoning evolution.,Progressive Prompting,Expert,"Classify this review: 'This phone is okay, nothing special.'",Zero-shot → Few-shot → Add labeled examples → Evaluate changes in output reasoning and confidence.,"classification, model training"
PE-A11,Design a complex multi-stage prompt for task #11,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #11,Structured multi-part LLM prompt output for task #11,"chaining, abstraction, reasoning"
PE-A12,Design a complex multi-stage prompt for task #12,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #12,Structured multi-part LLM prompt output for task #12,"chaining, abstraction, reasoning"
PE-A13,Design a complex multi-stage prompt for task #13,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #13,Structured multi-part LLM prompt output for task #13,"chaining, abstraction, reasoning"
PE-A14,Design a complex multi-stage prompt for task #14,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #14,Structured multi-part LLM prompt output for task #14,"chaining, abstraction, reasoning"
PE-A15,Design a complex multi-stage prompt for task #15,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #15,Structured multi-part LLM prompt output for task #15,"chaining, abstraction, reasoning"
PE-A16,Design a complex multi-stage prompt for task #16,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #16,Structured multi-part LLM prompt output for task #16,"chaining, abstraction, reasoning"
PE-A17,Design a complex multi-stage prompt for task #17,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #17,Structured multi-part LLM prompt output for task #17,"chaining, abstraction, reasoning"
PE-A18,Design a complex multi-stage prompt for task #18,Advanced Prompt Design,Expert,Input data and task definition for advanced prompt #18,Structured multi-part LLM prompt output for task #18,"chaining, abstraction, reasoning"
